A,B
orange you like eat?,do you like to eat orange?
candy you like what kind?,what kind of candy do you like?
movie you like what kind?,what kind of movies do you like?
food you like what kind?,what kind of foods do you like?
cereal you like what kind?,what kind of cereal do you like?
soup you like what kind?,what kind of soup do you like?
you like cookies with milk?,do you like cookies and milk?
you like bananas with milk?,do you like bananas and milk?
your favorite beverage what?,what is your favorite beverage?
your favorite dessert what?,what is your favorite dessert?
hungry you?,are you hungry?
good you?,are you good?
your sister like egg?,does your sister like eggs?
your brother like egg?,does your brother like eggs?
your father like egg?,does your father like eggs?
your mother like egg?,does your mother like eggs?
your granfather like egg?,does your granfather like eggs?
your granmother like egg?,does your granmother like eggs?
backpack you have?,do you have a backpack?
your belt what color?,what color is your belt?
you change clothes when?,when do you change clothes?
who this room have glasses?,who in this room has glasses?
your shirt what color?,what color is your shirt?
shoes you have how many?,how many shoes do you have?
your socks what color?,what color are your socks?
your backpack have zipper?,does your backpack have a zipper?
your couch whatcolor?,what color is your couch?
that table what color?,what color is that table?
cat like eat bird?,do cats like to eat birds?
book you like read what kind?,what mind of books do you like to read?
fish like eat bug?,do fish like to eat bugs?
some cat like water?,do some cats like water?
horse you want?,do you want a horse?
you look like your dad?,do you look like your father?
you go class what-time?,what time to you go to class?
bird like eat fish?,do birds like to eat fish?
horse like eat fish?,do horses like to eat fish?
your bedroom upstairs?,is your bedroom upstairs?
you like monday?,do you like mondays?
you like tuesday?,do you like tuesday?
you like wednesday?,do you like wednesday?
you like thursday?,do you like thursday?
you like friday?,do you like friday?
you like saturday?,do you like saturday?
you like sunday?,do you like sunday?
learn new thing you like?,do you like to learn new things?
afternoon work you?,do you work in the afternoon?
your dad go college?,did your dad go to college?
your mom go college?,did your mom go to college?
your sister go college?,did your sister go to college?
your brother go college?,did your brother go to college?
your son go college?,did your son go to college?
your aunt go college?,did your aunt go to college?
your uncle go college?,did your uncle go to college?
your nephew go college?,did your nephew go to college?
your grandmother go college?,did your grandmother go to college?
your grandson go college?,did your grandson go to college?
your granddaughter go college?,did your granddaughter go to college?
want become interpreter you?,do you want to be an interpreter?
high school you graduate when?,when did you graduate high school?
you think this class hard?,do you think this class is hard?
true false test you like?,do you like true false tests?
research paper you like write?,do you like to write research papers?
interpreter list you have?,do you have a list of interpreters?
college you graduate when?,when do you graduate from college?
you think this class easy?,do you think this class is easy?
cold weather you like?,do you like cold weather?
sleep you like?,do you like to sleep?
yesterday you wake up what time?,what time did you wake up yesterday?
hot weather you like?,do you like hot weather?
you use deodorant you?,do you use deodorant?
your favorite time year what?,what is your favorite time of year?
feel sick you?,do you feel sick?
your refrigerator full?,is your refrigerator full?
cold pizza you like?,do you like cold pizza?
your major what?,what is your major?
your teacher have aide?,does your teacher have an aide?
you use babysitter?,do you use a babysitter?
your boss name?,what is your boss's name?
you like cook?,do you like to cook?
your neighbor name what?,what is your neighbor's name?
picture your family you have?,do you have a picture of your family?
your first car what color?,what was the color of your first car?
your family last child who?,who was the last child in your family?
today your last class what?,what is your last class today?
late class always you?,are you always late to class?
your next class what?,what class do you have next?
library how often you go?,how often do you go to the library?
you graduate soon you?,will you be graduating soon?
you recently what do?,what did you do recently?
you like banana?,do you like bananas?
bicycle have you?,do you have a bike?
you use alabaster you?,are you on alabaster?
you use amber you?,are you on amber?
you use amethyst you?,are you on amethyst?
you use apricot you?,are you on apricot?
you use aquamarine you?,are you on aquamarine?
you use azure you?,are you on azure?
you use beige you?,are you on beige?
you use bisque you?,are you on bisque?
you use black you?,are you on black?
you use blue you?,are you on blue?
you use blush you?,are you on blush?
you use bronze you?,are you on bronze?
you use brown you?,are you on brown?
you use burgundy you?,are you on burgundy?
you use cerulean you?,are you on cerulean?
you use champagne you?,are you on champagne?
you use charcoal you?,are you on charcoal?
you use chartreuse you?,are you on chartreuse?
you use chocolate you?,are you on chocolate?
you use cobalt you?,are you on cobalt?
you use coral you?,are you on coral?
you use cornflower you?,are you on cornflower?
you use cream you?,are you on cream?
you use crimson you?,are you on crimson?
you use cyan you?,are you on cyan?
you use emerald you?,are you on emerald?
you use fuchsia you?,are you on fuchsia?
you use gold you?,are you on gold?
you use gray you?,are you on gray?
you use green you?,are you on green?
you use indigo you?,are you on indigo?
you use ivory you?,are you on ivory?
you use jade you?,are you on jade?
you use khaki you?,are you on khaki?
you use lavender you?,are you on lavender?
you use lemon you?,are you on lemon?
you use lilac you?,are you on lilac?
you use lime you?,are you on lime?
you use magenta you?,are you on magenta?
you use mahogany you?,are you on mahogany?
you use maroon you?,are you on maroon?
you use mauve you?,are you on mauve?
you use mint you?,are you on mint?
you use mocha you?,are you on mocha?
you use navy you?,are you on navy?
you use ochre you?,are you on ochre?
you use olive you?,are you on olive?
you use orange you?,are you on orange?
you use peach you?,are you on peach?
you use pearl you?,are you on pearl?
you use periwinkle you?,are you on periwinkle?
you use pink you?,are you on pink?
you use plum you?,are you on plum?
you use puce you?,are you on puce?
you use purple you?,are you on purple?
you use raspberry you?,are you on raspberry?
you use red you?,are you on red?
you use rose you?,are you on rose?
you use ruby you?,are you on ruby?
you use saffron you?,are you on saffron?
you use salmon you?,are you on salmon?
you use sapphire you?,are you on sapphire?
you use scarlet you?,are you on scarlet?
you use sienna you?,are you on sienna?
you use silver you?,are you on silver?
you use slate you?,are you on slate?
you use taupe you?,are you on taupe?
you use teal you?,are you on teal?
you use turquoise you?,are you on turquoise?
you use ultramarine you?,are you on ultramarine?
you use umber you?,are you on umber?
you use vanilla you?,are you on vanilla?
you use vermilion you?,are you on vermilion?
you use violet you?,are you on violet?
you use viridian you?,are you on viridian?
you use white you?,are you on white?
you use yellow you?,are you on yellow?
you use zaffre you?,are you on zaffre?
your favorite color alabaster?,do you like color alabaster?
your favorite color amber?,do you like color amber?
your favorite color amethyst?,do you like color amethyst?
your favorite color apricot?,do you like color apricot?
your favorite color aquamarine?,do you like color aquamarine?
your favorite color azure?,do you like color azure?
your favorite color beige?,do you like color beige?
your favorite color bisque?,do you like color bisque?
your favorite color black?,do you like color black?
your favorite color blue?,do you like color blue?
your favorite color blush?,do you like color blush?
your favorite color bronze?,do you like color bronze?
your favorite color brown?,do you like color brown?
your favorite color burgundy?,do you like color burgundy?
your favorite color cerulean?,do you like color cerulean?
your favorite color champagne?,do you like color champagne?
your favorite color charcoal?,do you like color charcoal?
your favorite color chartreuse?,do you like color chartreuse?
your favorite color chocolate?,do you like color chocolate?
your favorite color cobalt?,do you like color cobalt?
your favorite color coral?,do you like color coral?
your favorite color cornflower?,do you like color cornflower?
your favorite color cream?,do you like color cream?
your favorite color crimson?,do you like color crimson?
your favorite color cyan?,do you like color cyan?
your favorite color emerald?,do you like color emerald?
your favorite color fuchsia?,do you like color fuchsia?
your favorite color gold?,do you like color gold?
your favorite color gray?,do you like color gray?
your favorite color green?,do you like color green?
your favorite color indigo?,do you like color indigo?
your favorite color ivory?,do you like color ivory?
your favorite color jade?,do you like color jade?
your favorite color khaki?,do you like color khaki?
your favorite color lavender?,do you like color lavender?
your favorite color lemon?,do you like color lemon?
your favorite color lilac?,do you like color lilac?
your favorite color lime?,do you like color lime?
your favorite color magenta?,do you like color magenta?
your favorite color mahogany?,do you like color mahogany?
your favorite color maroon?,do you like color maroon?
your favorite color mauve?,do you like color mauve?
your favorite color mint?,do you like color mint?
your favorite color mocha?,do you like color mocha?
your favorite color navy?,do you like color navy?
your favorite color ochre?,do you like color ochre?
your favorite color olive?,do you like color olive?
your favorite color orange?,do you like color orange?
your favorite color peach?,do you like color peach?
your favorite color pearl?,do you like color pearl?
your favorite color periwinkle?,do you like color periwinkle?
your favorite color pink?,do you like color pink?
your favorite color plum?,do you like color plum?
your favorite color puce?,do you like color puce?
your favorite color purple?,do you like color purple?
your favorite color raspberry?,do you like color raspberry?
your favorite color red?,do you like color red?
good friend she,she is a good friend.
good friend he,he is a good friend.
you sick you?,are you sick?
your father sick you?,is your father sick?
your dog sick you?,is your dog sick?
your cat sick you?,is your cat sick?
your dad sick you?,is your dad sick?
your mother sick you?,is your mother sick?
your son sick you?,is your son sick?
your daughter sick you?,is your daughter sick?
your brother sick you?,is your brother sick?
your older brother sick you?,is your older brother sick?
your younger brother sick you?,is your younger brother sick?
your sister sick you?,is your sister sick?
your older sister sick you?,is your older sister sick?
your younger sister sick you?,is your younger sister sick?
your sibling sick you?,is your sibling sick?
your uncle sick you?,is your uncle sick?
your aunt sick you?,is your aunt sick?
your cousin sick you?,is your cousin sick?
your relative sick you?,is your relative sick?
your nephew sick you?,is your nephew sick?
your niece sick you?,is your niece sick?
your grandfather sick you?,is your grandfather sick?
your grandpa sick you?,is your grandpa sick?
your granddad sick you?,is your granddad sick?
your grandmother sick you?,is your grandmother sick?
your grandma sick you?,is your grandma sick?
your grand children sick you?,is your grand children sick?
your grandson sick you?,is your grandson sick?
your granddaughter sick you?,is your granddaughter sick?
your great grandfather sick you?,is your great grandfather sick?
your great grandmother sick you?,is your great grandmother sick?
your great grandchildren sick you?,is your great grandchildren sick?
your stepfather sick you?,is your stepfather sick?
your stepmother sick you?,is your stepmother sick?
your stepson sick you?,is your stepson sick?
your stepdaughter sick you?,is your stepdaughter sick?
your stepbrother sick you?,is your stepbrother sick?
your stepsister sick you?,is your stepsister sick?
yesterday store mary go,mary went to the store yesterday.
yesterday store father go,your father went to the store yesterday.
yesterday store dad go,your dad went to the store yesterday.
yesterday store mother go,your mother went to the store yesterday.
yesterday store son go,your son went to the store yesterday.
yesterday store daughter go,your daughter went to the store yesterday.
yesterday store brother go,your brother went to the store yesterday.
yesterday store older brother go,your older brother went to the store yesterday.
yesterday store younger brother go,your younger brother went to the store yesterday.
yesterday store sister go,your sister went to the store yesterday.
yesterday store older sister go,your older sister went to the store yesterday.
yesterday store younger sister go,your younger sister went to the store yesterday.
yesterday store sibling go,your sibling went to the store yesterday.
yesterday store uncle go,your uncle went to the store yesterday.
yesterday store aunt go,your aunt went to the store yesterday.
yesterday store cousin go,your cousin went to the store yesterday.
yesterday store relative go,your relative went to the store yesterday.
yesterday store nephew go,your nephew went to the store yesterday.
yesterday store niece go,your niece went to the store yesterday.
yesterday store grandfather go,your grandfather went to the store yesterday.
yesterday store grandpa go,your grandpa went to the store yesterday.
yesterday store granddad go,your granddad went to the store yesterday.
yesterday store grandmother go,your grandmother went to the store yesterday.
yesterday store grandma go,your grandma went to the store yesterday.
yesterday store grand children go,your grand children went to the store yesterday.
yesterday store grandson go,your grandson went to the store yesterday.
yesterday store granddaughter go,your granddaughter went to the store yesterday.
yesterday store great grandfather go,your great grandfather went to the store yesterday.
yesterday store great grandmother go,your great grandmother went to the store yesterday.
yesterday store great grandchildren go,your great grandchildren went to the store yesterday.
yesterday store stepfather go,your stepfather went to the store yesterday.
yesterday store stepmother go,your stepmother went to the store yesterday.
yesterday store stepson go,your stepson went to the store yesterday.
yesterday store stepdaughter go,your stepdaughter went to the store yesterday.
yesterday store stepbrother go,your stepbrother went to the store yesterday.
yesterday store stepsister go,your stepsister went to the store yesterday.
yesterday office father go,your father went to the office yesterday.
yesterday office dad go,your dad went to the office yesterday.
yesterday office mother go,your mother went to the office yesterday.
yesterday office son go,your son went to the office yesterday.
yesterday office daughter go,your daughter went to the office yesterday.
yesterday office brother go,your brother went to the office yesterday.
yesterday office older brother go,your older brother went to the office yesterday.
yesterday office younger brother go,your younger brother went to the office yesterday.
yesterday office sister go,your sister went to the office yesterday.
yesterday office older sister go,your older sister went to the office yesterday.
yesterday office younger sister go,your younger sister went to the office yesterday.
yesterday office sibling go,your sibling went to the office yesterday.
yesterday office uncle go,your uncle went to the office yesterday.
yesterday office aunt go,your aunt went to the office yesterday.
yesterday office cousin go,your cousin went to the office yesterday.
yesterday office relative go,your relative went to the office yesterday.
yesterday office nephew go,your nephew went to the office yesterday.
yesterday office niece go,your niece went to the office yesterday.
yesterday office grandfather go,your grandfather went to the office yesterday.
yesterday office grandpa go,your grandpa went to the office yesterday.
yesterday office granddad go,your granddad went to the office yesterday.
yesterday office grandmother go,your grandmother went to the office yesterday.
yesterday office grandma go,your grandma went to the office yesterday.
yesterday office grand children go,your grand children went to the office yesterday.
yesterday office grandson go,your grandson went to the office yesterday.
yesterday office granddaughter go,your granddaughter went to the office yesterday.
yesterday office great grandfather go,your great grandfather went to the office yesterday.
yesterday office great grandmother go,your great grandmother went to the office yesterday.
yesterday office great grandchildren go,your great grandchildren went to the office yesterday.
yesterday office stepfather go,your stepfather went to the office yesterday.
yesterday office stepmother go,your stepmother went to the office yesterday.
yesterday office stepson go,your stepson went to the office yesterday.
yesterday office stepdaughter go,your stepdaughter went to the office yesterday.
yesterday office stepbrother go,your stepbrother went to the office yesterday.
yesterday office stepsister go,your stepsister went to the office yesterday.
tomorrow office father go,your father will go to the office tomorrow.
tomorrow office dad go,your dad will go to the office tomorrow.
tomorrow office mother go,your mother will go to the office tomorrow.
tomorrow office son go,your son will go to the office tomorrow.
tomorrow office daughter go,your daughter will go to the office tomorrow.
tomorrow office brother go,your brother will go to the office tomorrow.
tomorrow office older brother go,your older brother will go to the office tomorrow.
tomorrow office younger brother go,your younger brother will go to the office tomorrow.
tomorrow office sister go,your sister will go to the office tomorrow.
tomorrow office older sister go,your older sister will go to the office tomorrow.
tomorrow office younger sister go,your younger sister will go to the office tomorrow.
tomorrow office sibling go,your sibling will go to the office tomorrow.
tomorrow office uncle go,your uncle will go to the office tomorrow.
tomorrow office aunt go,your aunt will go to the office tomorrow.
tomorrow office cousin go,your cousin will go to the office tomorrow.
tomorrow office relative go,your relative will go to the office tomorrow.
tomorrow office nephew go,your nephew will go to the office tomorrow.
tomorrow office niece go,your niece will go to the office tomorrow.
tomorrow office grandfather go,your grandfather will go to the office tomorrow.
tomorrow office grandpa go,your grandpa will go to the office tomorrow.
tomorrow office granddad go,your granddad will go to the office tomorrow.
tomorrow office grandmother go,your grandmother will go to the office tomorrow.
tomorrow office grandma go,your grandma will go to the office tomorrow.
tomorrow office grand children go,your grand children will go to the office tomorrow.
tomorrow office grandson go,your grandson will go to the office tomorrow.
tomorrow office granddaughter go,your granddaughter will go to the office tomorrow.
tomorrow office great grandfather go,your great grandfather will go to the office tomorrow.
tomorrow office great grandmother go,your great grandmother will go to the office tomorrow.
tomorrow office great grandchildren go,your great grandchildren will go to the office tomorrow.
tomorrow office stepfather go,your stepfather will go to the office tomorrow.
tomorrow office stepmother go,your stepmother will go to the office tomorrow.
tomorrow office stepson go,your stepson will go to the office tomorrow.
tomorrow office stepdaughter go,your stepdaughter will go to the office tomorrow.
tomorrow office stepbrother go,your stepbrother will go to the office tomorrow.
tomorrow office stepsister go,your stepsister will go to the office tomorrow.
tomorrow police station father go,your father will go to the police station tomorrow.
tomorrow police station dad go,your dad will go to the police station tomorrow.
tomorrow police station mother go,your mother will go to the police station tomorrow.
tomorrow police station son go,your son will go to the police station tomorrow.
tomorrow police station daughter go,your daughter will go to the police station tomorrow.
tomorrow police station brother go,your brother will go to the police station tomorrow.
tomorrow police station older brother go,your older brother will go to the police station tomorrow.
tomorrow police station younger brother go,your younger brother will go to the police station tomorrow.
tomorrow police station sister go,your sister will go to the police station tomorrow.
tomorrow police station older sister go,your older sister will go to the police station tomorrow.
tomorrow police station younger sister go,your younger sister will go to the police station tomorrow.
tomorrow police station sibling go,your sibling will go to the police station tomorrow.
tomorrow police station uncle go,your uncle will go to the police station tomorrow.
tomorrow police station aunt go,your aunt will go to the police station tomorrow.
tomorrow police station cousin go,your cousin will go to the police station tomorrow.
tomorrow police station relative go,your relative will go to the police station tomorrow.
tomorrow police station nephew go,your nephew will go to the police station tomorrow.
tomorrow police station niece go,your niece will go to the police station tomorrow.
tomorrow police station grandfather go,your grandfather will go to the police station tomorrow.
tomorrow police station grandpa go,your grandpa will go to the police station tomorrow.
tomorrow police station granddad go,your granddad will go to the police station tomorrow.
tomorrow police station grandmother go,your grandmother will go to the police station tomorrow.
tomorrow police station grandma go,your grandma will go to the police station tomorrow.
tomorrow police station grand children go,your grand children will go to the police station tomorrow.
tomorrow police station grandson go,your grandson will go to the police station tomorrow.
tomorrow police station granddaughter go,your granddaughter will go to the police station tomorrow.
tomorrow police station great grandfather go,your great grandfather will go to the police station tomorrow.
tomorrow police station great grandmother go,your great grandmother will go to the police station tomorrow.
tomorrow police station great grandchildren go,your great grandchildren will go to the police station tomorrow.
tomorrow police station stepfather go,your stepfather will go to the police station tomorrow.
tomorrow police station stepmother go,your stepmother will go to the police station tomorrow.
tomorrow police station stepson go,your stepson will go to the police station tomorrow.
tomorrow police station stepdaughter go,your stepdaughter will go to the police station tomorrow.
tomorrow police station stepbrother go,your stepbrother will go to the police station tomorrow.
tomorrow police station stepsister go,your stepsister will go to the police station tomorrow.
i from thailand i,i am from thailand.
our teacher who?,who is our teacher?
our programer who?,who is our programer?
our boss who?,who is our boss?
your teacher name what?,what is your teacher name?
your mother name what?,what is your mother name?
your son name what?,what is your son name?
your daughter name what?,what is your daughter name?
your brother name what?,what is your brother name?
your older brother name what?,what is your older brother name?
your younger brother name what?,what is your younger brother name?
your sister name what?,what is your sister name?
your older sister name what?,what is your older sister name?
your younger sister name what?,what is your younger sister name?
your sibling name what?,what is your sibling name?
your uncle name what?,what is your uncle name?
your aunt name what?,what is your aunt name?
your cousin name what?,what is your cousin name?
your relative name what?,what is your relative name?
your nephew name what?,what is your nephew name?
your niece name what?,what is your niece name?
your grandfather name what?,what is your grandfather name?
your grandpa name what?,what is your grandpa name?
your granddad name what?,what is your granddad name?
your grandmother name what?,what is your grandmother name?
your grandma name what?,what is your grandma name?
your grand children name what?,what is your grand children name?
your grandson name what?,what is your grandson name?
your granddaughter name what?,what is your granddaughter name?
your great grandfather name what?,what is your great grandfather name?
your great grandmother name what?,what is your great grandmother name?
your great grandchildren name what?,what is your great grandchildren name?
your stepfather name what?,what is your stepfather name?
your stepmother name what?,what is your stepmother name?
your stepson name what?,what is your stepson name?
your stepdaughter name what?,what is your stepdaughter name?
your stepbrother name what?,what is your stepbrother name?
your stepsister name what?,what is your stepsister name?
you understand me?,do you understand me?
i farmer i,i am farmer.
i programer i,i am programer.
i accountant i,i am accountant.
i actor i,i am actor.
i architect i,i am architect.
i artist i,i am artist.
i astronomer i,i am astronomer.
i athlete i,i am athlete.
i chef i,i am chef.
i chemist i,i am chemist.
i composer i,i am composer.
i dentist i,i am dentist.
i doctor i,i am doctor.
i electrician i,i am electrician.
i engineer i,i am engineer.
i firefighter i,i am firefighter.
i gardener i,i am gardener.
i graphic designer i,i am graphic designer.
i hairdresser i,i am hairdresser.
i journalist i,i am journalist.
i judge i,i am judge.
i lawyer i,i am lawyer.
i librarian i,i am librarian.
i mechanic i,i am mechanic.
i musician i,i am musician.
i nurse i,i am nurse.
i nutritionist i,i am nutritionist.
i paramedic i,i am paramedic.
i pharmacist i,i am pharmacist.
i photographer i,i am photographer.
i pilot i,i am pilot.
i plumber i,i am plumber.
i police officer i,i am police officer.
i politician i,i am politician.
i psychologist i,i am psychologist.
i real estate agent i,i am real estate agent.
i scientist i,i am scientist.
i secretary i,i am secretary.
i singer i,i am singer.
i software developer i,i am software developer.
i teacher i,i am teacher.
i translator i,i am translator.
i veterinarian i,i am veterinarian.
i waiter i,i am waiter.
i web developer i,i am web developer.
i writer i,i am writer.
i banker i,i am banker.
i barista i,i am barista.
i bartender i,i am bartender.
i bus driver i,i am bus driver.
i carpenter i,i am carpenter.
i cashier i,i am cashier.
i cleaner i,i am cleaner.
i dancer i,i am dancer.
i delivery driver i,i am delivery driver.
i fisherman i,i am fisherman.
i flight attendant i,i am flight attendant.
i florist i,i am florist.
i janitor i,i am janitor.
i lifeguard i,i am lifeguard.
i makeup artist i,i am makeup artist.
i miner i,i am miner.
i postman i,i am postman.
i reporter i,i am reporter.
i salesperson i,i am salesperson.
i security guard i,i am security guard.
i taxi driver i,i am taxi driver.
i from afghanistan i,i am from afghanistan.
i from albania i,i am from albania.
i from algeria i,i am from algeria.
i from andorra i,i am from andorra.
i from angola i,i am from angola.
i from antigua and barbuda i,i am from antigua and barbuda.
i from argentina i,i am from argentina.
i from armenia i,i am from armenia.
i from australia i,i am from australia.
i from austria i,i am from austria.
i from azerbaijan i,i am from azerbaijan.
i from bahamas i,i am from the bahamas.
i from bahrain i,i am from bahrain.
i from bangladesh i,i am from bangladesh.
i from barbados i,i am from barbados.
i from belarus i,i am from belarus.
i from belgium i,i am from belgium.
i from belize i,i am from belize.
i from benin i,i am from benin.
i from bhutan i,i am from bhutan.
i from bolivia i,i am from bolivia.
i from bosnia and herzegovina i,i am from bosnia and herzegovina.
i from botswana i,i am from botswana.
i from brazil i,i am from brazil.
i from brunei i,i am from brunei.
i from bulgaria i,i am from bulgaria.
i from burkina faso i,i am from burkina faso.
i from burundi i,i am from burundi.
i from cabo verde i,i am from cabo verde.
i from cambodia i,i am from cambodia.
i from cameroon i,i am from cameroon.
i from canada i,i am from canada.
i from central african republic i,i am from the central african republic.
i from chad i,i am from chad.
i from chile i,i am from chile.
i from china i,i am from china.
i from colombia i,i am from colombia.
i from comoros i,i am from comoros.
i from congo i,i am from the congo.
i from costa rica i,i am from costa rica.
i from cote d'ivoire i,i am from cote d'ivoire.
i from croatia i,i am from croatia.
i from cuba i,i am from cuba.
i from cyprus i,i am from cyprus.
i from czech republic i,i am from the czech republic.
i from denmark i,i am from denmark.
i from djibouti i,i am from djibouti.
i from dominica i,i am from dominica.
i from dominican republic i,i am from the dominican republic.
i from ecuador i,i am from ecuador.
i from egypt i,i am from egypt.
i from el salvador i,i am from el salvador.
i from equatorial guinea i,i am from equatorial guinea.
i from eritrea i,i am from eritrea.
i from estonia i,i am from estonia.
i from eswatini i,i am from eswatini.
i from ethiopia i,i am from ethiopia.
i from fiji i,i am from fiji.
i from finland i,i am from finland.
i from france i,i am from france.
i from gabon i,i am from gabon.
i from gambia i,i am from the gambia.
i from georgia i,i am from georgia.
i from germany i,i am from germany.
i from ghana i,i am from ghana.
i from greece i,i am from greece.
i from grenada i,i am from grenada.
i from guatemala i,i am from guatemala.
i from guinea i,i am from guinea.
i from guinea-bissau i,i am from guinea-bissau.
i from guyana i,i am from guyana.
i from haiti i,i am from haiti.
i from honduras i,i am from honduras.
i from hungary i,i am from hungary.
i from iceland i,i am from iceland.
i from india i,i am from india.
i from indonesia i,i am from indonesia.
i from iran i,i am from iran.
i from iraq i,i am from iraq.
i from ireland i,i am from ireland.
i from israel i,i am from israel.
i from italy i,i am from italy.
i from jamaica i,i am from jamaica.
i from japan i,i am from japan.
i from jordan i,i am from jordan.
i from kazakhstan i,i am from kazakhstan.
i from kenya i,i am from kenya.
i from kiribati i,i am from kiribati.
i from kuwait i,i am from kuwait.
i from kyrgyzstan i,i am from kyrgyzstan.
i from laos i,i am from laos.
i from latvia i,i am from latvia.
i from lebanon i,i am from lebanon.
i from lesotho i,i am from lesotho.
i from liberia i,i am from liberia.
i from libya i,i am from libya.
i from liechtenstein i,i am from liechtenstein.
i from lithuania i,i am from lithuania.
i from luxembourg i,i am from luxembourg.
i from madagascar i,i am from madagascar.
i from malawi i,i am from malawi.
i from malaysia i,i am from malaysia.
i from maldives i,i am from the maldives.
i from mali i,i am from mali.
i from malta i,i am from malta.
i from marshall islands i,i am from the marshall islands.
i from mauritania i,i am from mauritania.
i from mauritius i,i am from mauritius.
i from mexico i,i am from mexico.
i from micronesia i,i am from micronesia.
i from moldova i,i am from moldova.
i from monaco i,i am from monaco.
i from mongolia i,i am from mongolia.
i from montenegro i,i am from montenegro.
i from morocco i,i am from morocco.
i from mozambique i,i am from mozambique.
i from myanmar i,i am from myanmar.
i from namibia i,i am from namibia.
i from nauru i,i am from nauru.
i from nepal i,i am from nepal.
i from netherlands i,i am from the netherlands.
i from new zealand i,i am from new zealand.
i from nicaragua i,i am from nicaragua.
i from niger i,i am from niger.
i from nigeria i,i am from nigeria.
i from north macedonia i,i am from north macedonia.
i from norway i,i am from norway.
i from oman i,i am from oman.
i from pakistan i,i am from pakistan.
i from palau i,i am from palau.
i from panama i,i am from panama.
i from papua new guinea i,i am from papua new guinea.
i from paraguay i,i am from paraguay.
i from peru i,i am from peru.
i from philippines i,i am from the philippines.
i from poland i,i am from poland.
i from portugal i,i am from portugal.
i from qatar i,i am from qatar.
i from romania i,i am from romania.
i from russia i,i am from russia.
i from rwanda i,i am from rwanda.
i from saint kitts and nevis i,i am from saint kitts and nevis.
i from saint lucia i,i am from saint lucia.
i from saint vincent and the grenadines i,i am from saint vincent and the grenadines.
i from samoa i,i am from samoa.
i from san marino i,i am from san marino.
i from sao tome and principe i,i am from sao tome and principe.
i from saudi arabia i,i am from saudi arabia.
i from senegal i,i am from senegal.
i from serbia i,i am from serbia.
i from seychelles i,i am from seychelles.
i from sierra leone i,i am from sierra leone.
i from singapore i,i am from singapore.
i from slovakia i,i am from slovakia.
i from slovenia i,i am from slovenia.
i from solomon islands i,i am from the solomon islands.
i from somalia i,i am from somalia.
i from south africa i,i am from south africa.
i from south sudan i,i am from south sudan.
i from spain i,i am from spain.
i from sri lanka i,i am from sri lanka.
i from sudan i,i am from sudan.
i from suriname i,i am from suriname.
i from sweden i,i am from sweden.
i from switzerland i,i am from switzerland.
i from syria i,i am from syria.
i from taiwan i,i am from taiwan.
i from tajikistan i,i am from tajikistan.
i from tanzania i,i am from tanzania.
i from timor-leste i,i am from timor-leste.
i from togo i,i am from togo.
i from tonga i,i am from tonga.
i from trinidad and tobago i,i am from trinidad and tobago.
i from tunisia i,i am from tunisia.
i from turkey i,i am from turkey.
i from turkmenistan i,i am from turkmenistan.
i from tuvalu i,i am from tuvalu.
i from uganda i,i am from uganda.
i from ukraine i,i am from ukraine.
i from united arab emirates i,i am from the united arab emirates.
i from united kingdom i,i am from the united kingdom.
i from united states i,i am from the united states.
i from uruguay i,i am from uruguay.
i from uzbekistan i,i am from uzbekistan.
i from vanuatu i,i am from vanuatu.
i from vatican city i,i am from vatican city.
i from venezuela i,i am from venezuela.
i from vietnam i,i am from vietnam.
i from yemen i,i am from yemen.
i from zambia i,i am from zambia.
i from zimbabwe i,i am from zimbabwe.
who you?,who are you?
your name?,what is your name?
your mom name?,what is your mom's name?
who they?,who are they?
I student I,I am student
you drink what ?,what do you drink ?
you like fish,do you like fish ?
you like banana,do you like banana ?
